,매장이름,주소,전화번호,일시
0,부천심곡점,경기도 부천시 장말로 376 심곡동 355-1,032-612-7258,2024-10-31 11:04:40
1,성남터미널점,"경기도 성남시 분당구 성남대로925번길 16, 성남종합버스터미널 1층",031-725-1004,2024-10-31 11:04:40
2,부산백양대로점,괘법동 141,051-311-5399,2024-10-31 11:04:40
3,왕십리역점,"성동구 왕십리광장로 17 (행당동 168-151 ), 비트플렉스몰 3층",02-2200-1303,2024-10-31 11:04:40
4,홍대출판사거리점,"서울시 마포구 독막로7길 40, 1층",02-332-3567,2024-10-31 11:04:40
5,간석오거리점,,032-425-0915,2024-10-31 11:04:40
6,위례중앙점,,031-755-5064,2024-10-31 11:04:40
7,수유사거리점,서울시 강북구 도봉로 82길 11 (2~4층),070-5226-1999,2024-10-31 11:04:40
8,하남덕풍점,덕풍북로 2,031-792-9389,2024-10-31 11:04:40
9,전경련회관점,서울시 영등포구 여의도동 28-1 전경련신축회관 B109-11,02-786-3485,2024-10-31 11:04:40
10,대전만년점,"대전 서구 둔산대로117번길 95(만년동, 리더스타운)",,2024-10-31 11:04:40
11,대전탄방점,대전 서구 계룡로571번길 23-19,042-482-8425,2024-10-31 11:04:40
12,신월사거리점,"가로공원로 113, 1층",02-2606-5040,2024-10-31 11:04:40
13,양산부산대병원치과동점,물금읍 금오로 20 양산부산대학교병원 치과병동 1층,070-4442-0608,2024-10-31 11:04:40
14,양산부산대병원본점,"물금읍 금오로 20, 양산부산대학교병원 중앙진료동 1층",055-362-4582,2024-10-31 11:04:40
15,대전역점,"대전 동구 중앙로 215, 3층 대합실",,2024-10-31 11:04:40
16,화성융건릉점,경기도 화성시 효행로 501-3,031-224-6999,2024-10-31 11:04:40
17,커피클럽 선릉역점,서울특별시 강남구 테헤란로 325 1층,02-6196-7935,2024-10-31 11:04:40
18,(하)선산휴게소점,경상북도 구미시 옥성면 중부내륙고속도로 128,,2024-10-31 11:04:40
19,진해속천점,경남 창원시 진해구 태평로 132,055-547-9777,2024-10-31 11:04:40
20,천안신부점,"충남 천안시 동남구 만남로 26 대영빌딩 4,5층",041-566-5085,2024-10-31 11:04:40
21,양주옥정점,경기도 양주시 옥정동 963-6,,2024-10-31 11:04:40
22,서초마제스타시티점,"서초대로38길 12, 1층",02-6411-0063,2024-10-31 11:04:40
23,부산명륜역점,"부산광역시 동래구 온천장로5, 1층",051-557-7811,2024-10-31 11:04:40
24,대전은행본점,대전 중구 대흥동 153-1,042-222-3288,2024-10-31 11:04:40
25,구리수택점,"경기도 구리시 검배로 73, 할리스커피",031-551-0988,2024-10-31 11:04:40
26,진주평거점,경상남도 진주시 진양호로 46,055-745-9633,2024-10-31 11:04:40
27,할리스커피 울산시청점,"삼산로 60, 1층(신정동)",070-7733-7108,2024-10-31 11:04:40
28,부산대학교병원1호점,"부산광역시 서구 구덕로 179, 융합동 ",051-231-9647,2024-10-31 11:04:40
29,종로5가점,동호로 401,02-2266-1989,2024-10-31 11:04:40
30,서전주DT점,전북 전주시 완산구 콩쥐팥쥐로 1713,063-901-0802,2024-10-31 11:04:40
